STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,AGG_METHOD,AGG_METHOD_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,COMMENT_OBS,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,EGY,"Egypt, Arab Rep.",WB_SSGD_CO2_EMISSIONS,CO2 emissions,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,T_CO2E_PS,Tonnes of CO2-equivalent per person,_T,Total,_T,Total,_Z,Not Applicable,2020,1.9611225128173828,_Z,Not Applicable,WB_SSGD,Social sustainability global database,0,Units,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,EGY,"Egypt, Arab Rep.",WB_SSGD_CO2_EMISSIONS,CO2 emissions,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,T_CO2E_PS,Tonnes of CO2-equivalent per person,_T,Total,_T,Total,_Z,Not Applicable,2018,2.2940163612365723,_Z,Not Applicable,WB_SSGD,Social sustainability global database,0,Units,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARG,Argentina,WB_SSGD_CO2_EMISSIONS,CO2 emissions,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,T_CO2E_PS,Tonnes of CO2-equivalent per person,_T,Total,_T,Total,_Z,Not Applicable,2020,3.405617475509644,_Z,Not Applicable,WB_SSGD,Social sustainability global database,0,Units,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARG,Argentina,WB_SSGD_CO2_EMISSIONS,CO2 emissions,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,T_CO2E_PS,Tonnes of CO2-equivalent per person,_T,Total,_T,Total,_Z,Not Applicable,2018,3.975650787353516,_Z,Not Applicable,WB_SSGD,Social sustainability global database,0,Units,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARM,Armenia,WB_SSGD_CO2_EMISSIONS,CO2 emissions,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,T_CO2E_PS,Tonnes of CO2-equivalent per person,_T,Total,_T,Total,_Z,Not Applicable,2020,2.404683828353882,_Z,Not Applicable,WB_SSGD,Social sustainability global database,0,Units,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARM,Armenia,WB_SSGD_CO2_EMISSIONS,CO2 emissions,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,T_CO2E_PS,Tonnes of CO2-equivalent per person,_T,Total,_T,Total,_Z,Not Applicable,2018,2.013779401779175,_Z,Not Applicable,WB_SSGD,Social sustainability global database,0,Units,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUS,Australia,WB_SSGD_CO2_EMISSIONS,CO2 emissions,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,T_CO2E_PS,Tonnes of CO2-equivalent per person,_T,Total,_T,Total,_Z,Not Applicable,2018,15.86356258392334,_Z,Not Applicable,WB_SSGD,Social sustainability global database,0,Units,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUS,Australia,WB_SSGD_CO2_EMISSIONS,CO2 emissions,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,T_CO2E_PS,Tonnes of CO2-equivalent per person,_T,Total,_T,Total,_Z,Not Applicable,2020,14.77265739440918,_Z,Not Applicable,WB_SSGD,Social sustainability global database,0,Units,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,WB_SSGD_CO2_EMISSIONS,CO2 emissions,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,T_CO2E_PS,Tonnes of CO2-equivalent per person,_T,Total,_T,Total,_Z,Not Applicable,2020,6.632645606994629,_Z,Not Applicable,WB_SSGD,Social sustainability global database,0,Units,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,WB_SSGD_CO2_EMISSIONS,CO2 emissions,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,T_CO2E_PS,Tonnes of CO2-equivalent per person,_T,Total,_T,Total,_Z,Not Applicable,2018,7.141139984130859,_Z,Not Applicable,WB_SSGD,Social sustainability global database,0,Units,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
